iter	RMSE
0	0.3887845286
1	0.3864779163
2	0.3839098401
3	0.3811105732
4	0.3786116474
5	0.3759922582
6	0.3733434724
7	0.3708098609
8	0.3682182953
9	0.3658799
10	0.3635556313
11	0.3608980936
12	0.3587267497
13	0.3566393987
14	0.354498345
15	0.3519238316
16	0.3495506241
17	0.3470256545
18	0.3448108898
19	0.3422783375
20	0.3401907779
21	0.3378796269
22	0.3356153689
23	0.3331809256
24	0.3309659382
25	0.3289237992
26	0.3266188006
27	0.3244515599
28	0.3221456752
29	0.3202187392
30	0.318266593
31	0.3161849458
32	0.3141680185
33	0.3123104742
34	0.310245866
35	0.308797915
36	0.3067865543
37	0.3050174273
38	0.3032852985
39	0.3015408869
40	0.2996668555
41	0.2979511436
42	0.296165303
43	0.2943079715
44	0.2927258689
45	0.2908412092
46	0.2891795668
47	0.2876105693
48	0.2858204703
49	0.2840771509
50	0.2825975517
51	0.2811172037
52	0.2795546711
53	0.2779023914
54	0.2762681632
55	0.2746142422
56	0.2729455196
57	0.2716654147
58	0.2699592352
59	0.2684307971
60	0.2668073373
61	0.2653091989
62	0.2639407857
63	0.2625550604
64	0.2611511687
65	0.2599265108
66	0.2585786663
67	0.2569824557
68	0.2556083828
69	0.2539788632
70	0.252571837
71	0.2511265707
72	0.2497986182
73	0.2484328454
74	0.2470227256
75	0.2456303594
76	0.2444507344
77	0.2432453652
78	0.2418781671
79	0.2407793
80	0.2397126659
81	0.2385938136
82	0.2370925224
83	0.235949613
84	0.2347205164
85	0.2336071068
86	0.2323706344
87	0.2312996698
88	0.2299964755
89	0.228712122
90	0.2274118525
91	0.2262485068
92	0.2250208473
93	0.223935786
94	0.2228231362
95	0.2219388589
96	0.2209135396
97	0.2198311002
98	0.2187571946
99	0.2176250116
100	0.2165853616
101	0.2155764633
102	0.2144472488
103	0.2133597644
104	0.2122785549
105	0.2113052721
106	0.2102395279
107	0.2093350648
108	0.2084305294
109	0.2074946778
110	0.2066703224
111	0.2057098646
112	0.2048444737
113	0.2038577074
114	0.2028581379
115	0.2019368753
116	0.2011732988
117	0.2003655273
118	0.1993722138
119	0.1984877242
120	0.1975660155
121	0.1967753258
122	0.1959093382
123	0.1950389234
124	0.1942829186
125	0.1934506481
126	0.1926757078
127	0.1918882601
128	0.1911332078
129	0.19037071
130	0.1896644971
131	0.1888601442
132	0.1881329625
133	0.1873437431
134	0.186542541
135	0.1857811573
136	0.184985793
137	0.1841784635
138	0.1834301313
139	0.1826807966
140	0.1819054058
141	0.1812070325
142	0.1805186783
143	0.1798947548
144	0.1792298394
145	0.1786199318
146	0.178018699
147	0.1773463884
148	0.1766823376
149	0.1760325485
150	0.1754286306
151	0.1747908669
152	0.1741570267
153	0.1735373641
154	0.1728673741
155	0.1723560618
156	0.1717663351
157	0.1711727611
158	0.1706380148
159	0.1701452656
160	0.1695512286
161	0.1690508915
162	0.1684190859
163	0.1678870298
164	0.167319745
165	0.1666980598
166	0.1661267456
167	0.1656437824
168	0.1651112229
169	0.1645499207
170	0.1640423261
171	0.1635436835
172	0.1630289293
173	0.1624762166
174	0.1620101193
175	0.1615231191
176	0.1610542359
177	0.1605113864
178	0.160000891
179	0.1595592703
180	0.1590608834
181	0.1585747313
182	0.1580303648
183	0.1575660345
184	0.1571584706
185	0.1567716708
186	0.156278277
187	0.1558403873
188	0.1554000305
189	0.1550332071
190	0.1546046059
191	0.1541545008
192	0.1537309729
193	0.1532468795
194	0.1528767826
195	0.1524839409
196	0.1519835403
197	0.1516259245
198	0.151159524
199	0.1507792424
200	0.1503784847
201	0.1499612574
202	0.1496091639
203	0.1492364878
204	0.1488371462
205	0.1484090583
206	0.148049846
207	0.1477505802
208	0.1472993724
209	0.1469787309
210	0.1466402185
211	0.1462611836
212	0.1458081947
213	0.1454973507
214	0.1451742843
215	0.1448504333
216	0.1444581511
217	0.1441396816
218	0.1437788767
219	0.1434502743
220	0.1430972798
221	0.1428190182
222	0.1424702318
223	0.1421834314
224	0.1418902479
225	0.1415664868
226	0.1412607301
227	0.1409365036
228	0.1405612523
229	0.1402171792
230	0.1399667681
231	0.1396298723
232	0.1393808067
233	0.1391057773
234	0.1388579118
235	0.1386148815
236	0.1383011754
237	0.1380279674
238	0.1377936341
239	0.1374537968
240	0.137153516
241	0.1368558148
242	0.1366561392
243	0.1364570531
244	0.1362062498
245	0.1359344372
246	0.1356045524
247	0.1353818866
248	0.1351485868
249	0.1349175442
250	0.1346777455
251	0.134434446
252	0.1342315686
253	0.1339972117
254	0.1337550353
255	0.1334616084
256	0.1332102704
257	0.1330090715
258	0.1327959024
259	0.1325514723
260	0.1322896408
261	0.1320227805
262	0.1318154168
263	0.1316092754
264	0.1314192456
265	0.1312230457
266	0.13099721
267	0.1307076235
268	0.130477421
269	0.1302826214
270	0.1300628965
271	0.1298379218
272	0.1296080284
273	0.1293721865
