iter	Passed	Remaining
0	55	277893
1	56	140504
2	56	94798
3	57	71970
4	58	58114
5	58	48893
6	59	42298
7	59	37378
8	60	33557
9	61	30516
10	61	28047
11	62	25972
12	63	24212
13	63	22728
14	64	21425
15	65	20272
16	65	19275
17	67	18598
18	68	17828
19	68	17099
20	69	16439
21	69	15825
22	70	15266
23	71	14748
24	71	14291
25	72	13856
26	73	13449
27	73	13066
28	74	12702
29	74	12369
30	75	12060
31	75	11768
32	76	11523
33	77	11260
34	77	11014
35	78	10780
36	78	10565
37	79	10358
38	79	10158
39	80	9971
40	80	9794
41	81	9641
42	82	9483
43	82	9334
44	83	9198
45	84	9063
46	84	8925
47	85	8797
48	85	8683
49	86	8565
50	87	8449
51	87	8335
52	89	8355
53	90	8250
54	90	8153
55	91	8057
56	91	7964
57	92	7871
58	92	7784
59	93	7701
60	94	7617
61	94	7538
62	95	7462
63	95	7393
64	96	7317
65	96	7245
66	97	7178
67	98	7114
68	98	7050
69	99	6987
70	99	6926
71	100	6874
72	101	6817
73	101	6763
74	102	6710
75	102	6659
76	103	6606
77	103	6559
78	104	6514
79	105	6469
80	105	6424
81	106	6379
82	106	6338
83	107	6299
84	108	6257
85	108	6218
86	109	6180
87	110	6146
88	110	6119
89	111	6086
90	112	6048
91	112	6013
92	113	5984
93	114	5955
94	114	5930
95	115	5902
96	116	5877
97	116	5851
98	117	5825
99	118	5795
100	118	5770
101	119	5747
102	120	5720
103	120	5695
104	121	5666
105	122	5638
106	122	5610
107	123	5587
108	123	5561
109	124	5542
110	125	5516
111	125	5491
112	126	5467
113	127	5446
114	127	5423
115	128	5400
116	128	5377
117	129	5355
118	130	5339
119	130	5325
120	131	5305
121	132	5292
122	132	5271
123	133	5253
124	134	5240
125	135	5224
126	135	5209
127	136	5195
128	137	5177
129	137	5161
130	138	5144
131	139	5129
132	139	5113
133	140	5099
134	141	5082
135	141	5064
136	142	5047
137	142	5028
138	143	5013
139	144	4999
140	144	4982
141	145	4968
142	145	4952
143	146	4935
144	146	4919
145	147	4905
146	148	4891
147	148	4876
148	149	4862
149	149	4848
150	150	4833
151	151	4818
152	151	4803
153	152	4788
154	152	4775
155	153	4767
156	154	4752
157	154	4740
158	155	4728
159	155	4716
160	156	4702
161	157	4690
162	157	4681
163	158	4670
164	159	4659
165	159	4649
166	160	4640
167	160	4628
168	161	4616
169	162	4604
170	162	4593
171	163	4581
172	163	4574
173	164	4569
174	165	4558
175	165	4547
176	166	4535
177	167	4526
178	167	4516
179	168	4506
180	168	4497
181	169	4490
182	170	4478
183	170	4469
184	171	4458
185	172	4463
186	173	4456
187	173	4447
188	174	4437
189	174	4427
190	175	4418
191	176	4407
192	176	4397
193	177	4387
194	177	4378
195	178	4370
196	178	4362
197	179	4357
198	180	4349
199	180	4341
200	181	4332
201	182	4323
202	182	4315
203	183	4307
204	183	4301
205	184	4294
206	185	4287
207	185	4279
208	186	4270
209	186	4262
210	187	4255
211	188	4249
212	188	4241
213	189	4232
214	189	4226
215	190	4219
